,product_id,product_name,score,key_ings,summary3,category_code
0,A000000224086,토니모리 원더 세라마이드 모찌 토너 500ml 기획 (+100ml +크림 30ml),0.90896404,"판테놀, 알란토인, 세라마이드","1) 성분 근거: 판테놀, 알란토인, 세라마이드 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.91로, 지성·복합성 포함 대부분 피부에 무난합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
1,A000000188874,[10월 올영픽/첫수분토너/대용량] 웰라쥬 리얼 히알루로닉 100 토너 300ml 기획 (+화장솜 60매),0.8404491,"베타인, 히알루론산, 1","1) 성분 근거: 베타인, 히알루론산, 1 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.84로, 지성·복합성 포함 대부분 피부에 무난합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
2,A000000222849,[10월 올영픽/속건조해결] 파티온 포도당 하이드로 에센스토너 300ml 더블 기획(2개입),0.834035,"판테놀, 스쿠알란, 세라마이드","1) 성분 근거: 판테놀, 스쿠알란, 세라마이드 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.83로, 지성·복합성 포함 대부분 피부에 무난합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
3,A000000210924,[단독기획]인터미션 레스트업 세럼스킨 290ml,0.7891957,"판테놀, 알란토인, 히알루론산","1) 성분 근거: 판테놀, 알란토인, 히알루론산 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.79로, 일반·복합성에 적합, 민감성은 패치 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
4,A000000004434,바이오더마 하이드라비오 토너 250ml,0.75369054,"알란토인, 사과씨추출물, 나이아신아마이드","1) 성분 근거: 알란토인, 사과씨추출물, 나이아신아마이드 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.75로, 일반·복합성에 적합, 민감성은 패치 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
5,A000000232188,[리뷰이벤트]피지오겔 DMT 에센스 인 토너 200ml (+DMT크림 10ml*2),0.60020345,"베타인, 스쿠알란, 히알루론산","1) 성분 근거: 베타인, 스쿠알란, 히알루론산 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.60로, 일반·복합성에 적합, 민감성은 패치 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
6,A000000232513,[한정] 라운드랩 1025 독도 토너 300ml 기획 (+100ml+늘어나는 스킨 패드 30매),0.5493934,"베타인, 판테놀, 알란토인","1) 성분 근거: 베타인, 판테놀, 알란토인 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.55로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
7,A000000132162,[1등토너] 라운드랩 1025 독도 토너 200ml 기획 (+50ml),0.5493934,"베타인, 판테놀, 알란토인","1) 성분 근거: 베타인, 판테놀, 알란토인 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.55로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
8,A000000231891,아누아 피디알엔 100 히알루론산 부스터 토너 250ml 기획세트 (+40ml),0.40755087,"베타인, 판테놀, 알란토인","1) 성분 근거: 베타인, 판테놀, 알란토인 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.41로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
9,A000000233879,[10월 올영픽][미스트 기획/화잘먹] 라네즈 크림스킨 170ml 리필기획 (+170ml 리필+50ml+미스트펌프),0.34819037,"스쿠알란, 히알루론산, 녹차추출물","1) 성분 근거: 스쿠알란, 히알루론산, 녹차추출물 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.35로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
