token,count,INCI
소듐하이알루로네이트,24,SODIUM HYALURONATE
판테놀,18,PANTHENOL
나이아신아마이드,14,NIACINAMIDE
알란토인,14,ALLANTOIN
아데노신,13,ADENOSINE
세라마이드엔피,12,CERAMIDE NP
토코페롤,11,TOCOPHEROL
베타인,11,BETAINE
하이드롤라이즈드하이알루로닉애씨드,10,HYDROLYZED HYALURONIC ACID
소듐하이알루로네이트크로스폴리머,10,SODIUM HYALURONATE CROSSPOLYMER
베타-글루칸,9,BETA-GLUCAN
소듐아세틸레이티드하이알루로네이트,9,SODIUM ACETYLATED HYALURONATE
알지닌,9,ARGININE
하이드롤라이즈드소듐하이알루로네이트,9,HYDROLYZED SODIUM HYALURONATE
소듐디엔에이,8,SODIUM DNA
마데카소사이드,8,MADECASSOSIDE
하이알루로닉애씨드,7,HYALURONIC ACID
하이드록시프로필트라이모늄하이알루로네이트,6,HYDROXYPROPYLTRIMONIUM HYALURONATE
마데카식애씨드,6,MADECASSIC ACID
병풀추출물,6,CENTELLA ASIATICA EXTRACT
스쿠알란,5,SQUALANE
말라카이트추출물,5,MALACHITE EXTRACT
인도멀구슬나무꽃추출물,5,MELIA AZADIRACHTA FLOWER EXTRACT
아시아티코사이드,5,ASIATICOSIDE
인도멀구슬나무잎추출물,5,MELIA AZADIRACHTA LEAF EXTRACT
글루타믹애씨드,4,GLUTAMIC ACID
히스티딘,4,HISTIDINE
모란뿌리추출물,4,PAEONIA SUFFRUTICOSA ROOT EXTRACT
황금추출물,4,SCUTELLARIA BAICALENSIS ROOT EXTRACT
콜레스테롤,4,CHOLESTEROL
글루타티온,4,GLUTATHIONE
홀리바질잎추출물,4,OCIMUM SANCTUM LEAF EXTRACT
사이아노코발아민,4,CYANOCOBALAMIN
글라이신,4,GLYCINE
트레할로오스,4,TREHALOSE
세린,4,SERINE
하이드롤라이즈드콜라겐,4,HYDROLYZED COLLAGEN
카프릴릭/카프릭트라이글리세라이드,4,CAPRYLIC/CAPRIC TRIGLYCERIDE
포타슘하이알루로네이트,4,POTASSIUM HYALURONATE
울금뿌리추출물,4,CURCUMA LONGA (TURMERIC) ROOT EXTRACT
참산호말추출물,4,CORALLINA OFFICINALIS EXTRACT
징크피씨에이,3,ZINC PCA
로즈마리잎오일,3,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL
쇠비름추출물,3,PORTULACA OLERACEA EXTRACT
리모넨,3,LIMONENE
팔미토일트라이펩타이드-1,3,PALMITOYL TRIPEPTIDE-1
아세틸헥사펩타이드-8,3,ACETYL HEXAPEPTIDE-8
병풀잎추출물,3,CENTELLA ASIATICA LEAF EXTRACT
호호바씨오일,3,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL
아이리쉬모스추출물,3,CHONDRUS CRISPUS EXTRACT
향료,3,FRAGRANCE
아스파틱애씨드,3,ASPARTIC ACID
아시아틱애씨드,3,ASIATIC ACID
덱스트린,3,DEXTRIN
다이포타슘글리시리제이트,3,DIPOTASSIUM GLYCYRRHIZATE
하이드롤라이즈드글라이코사미노글리칸,3,HYDROLYZED GLYCOSAMINOGLYCANS
마카다미아씨오일,2,MACADAMIA TERNIFOLIA SEED OIL
멕시칸주니퍼오일,2,JUNIPERUS MEXICANA OIL
라벤더오일,2,LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL
베르가모트오일,2,CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL
해바라기씨오일,2,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL
치자추출물,2,GARDENIA FLORIDA FRUIT EXTRACT
사탕수수추출물,2,SACCHARUM OFFICINARUM (SUGARCANE) EXTRACT
타마린드씨검,2,TAMARINDUS INDICA SEED GUM
사과추출물,2,PYRUS MALUS (APPLE) FRUIT EXTRACT
쑥잎추출물,2,ARTEMISIA PRINCEPS LEAF EXTRACT
소듐헤파린,2,SODIUM HEPARIN
프롤린,2,PROLINE
트레오닌,2,THREONINE
페닐알라닌,2,PHENYLALANINE
타이로신,2,TYROSINE
라이신,2,LYSINE
알라닌,2,ALANINE
류신,2,LEUCINE
프로폴리스추출물,2,PROPOLIS EXTRACT
티트리추출물,2,MELALEUCA ALTERNIFOLIA (TEA TREE) EXTRACT
버지니아풍년화추출물,2,HAMAMELIS VIRGINIANA (WITCH HAZEL) EXTRACT
자일리톨,2,XYLITOL
시스테인,2,CYSTEINE
메티오닌,2,METHIONINE
아이소류신,2,ISOLEUCINE
