token,count,INCI
소듐하이알루로네이트,17,SODIUM HYALURONATE
판테놀,13,PANTHENOL
토코페롤,12,TOCOPHEROL
스쿠알란,12,SQUALANE
하이알루로닉애씨드,11,HYALURONIC ACID
세라마이드엔피,11,CERAMIDE NP
마데카소사이드,10,MADECASSOSIDE
나이아신아마이드,10,NIACINAMIDE
하이드롤라이즈드하이알루로닉애씨드,10,HYDROLYZED HYALURONIC ACID
다이메티콘,10,DIMETHICONE
베헤닐알코올,9,BEHENYL ALCOHOL
알란토인,9,ALLANTOIN
스테아릭애씨드,9,STEARIC ACID
카프릴릭/카프릭트라이글리세라이드,9,CAPRYLIC/CAPRIC TRIGLYCERIDE
세테아릴알코올,8,CETEARYL ALCOHOL
소듐하이알루로네이트크로스폴리머,8,SODIUM HYALURONATE CROSSPOLYMER
아라키딜알코올,7,ARACHIDYL ALCOHOL
아데노신,7,ADENOSINE
글루코오스,7,GLUCOSE
베타인,7,BETAINE
팔미틱애씨드,7,PALMITIC ACID
알지닌,7,ARGININE
아시아티코사이드,7,ASIATICOSIDE
아라키딜글루코사이드,7,ARACHIDYL GLUCOSIDE
마데카식애씨드,6,MADECASSIC ACID
실리카,6,SILICA
포타슘하이알루로네이트,6,POTASSIUM HYALURONATE
병풀추출물,6,CENTELLA ASIATICA EXTRACT
병풀잎추출물,6,CENTELLA ASIATICA LEAF EXTRACT
하이드록시프로필트라이모늄하이알루로네이트,6,HYDROXYPROPYLTRIMONIUM HYALURONATE
소듐아세틸레이티드하이알루로네이트,6,SODIUM ACETYLATED HYALURONATE
하이드롤라이즈드소듐하이알루로네이트,6,HYDROLYZED SODIUM HYALURONATE
아시아틱애씨드,6,ASIATIC ACID
하이드로제네이티드폴리데센,5,HYDROGENATED POLYDECENE
시어버터,5,BUTYROSPERMUM PARKII (SHEA) BUTTER
피토스핑고신,5,PHYTOSPHINGOSINE
콜레스테롤,5,CHOLESTEROL
하이드로제네이티드폴리아이소부텐,5,HYDROGENATED POLYISOBUTENE
세틸에틸헥사노에이트,5,CETYL ETHYLHEXANOATE
하이드로제네이티드폴리,4,HYDROGENATED POLY(C6-14 OLEFIN)
솔비톨,4,SORBITOL
페녹시에탄올,4,PHENOXYETHANOL
향료,4,FRAGRANCE
트라이소듐에틸렌다이아민다이석시네이트,4,TRISODIUM ETHYLENEDIAMINE DISUCCINATE
말토덱스트린,4,MALTODEXTRIN
만니톨,4,MANNITOL
스테아릴알코올,4,STEARYL ALCOHOL
락토바실러스,4,LACTOBACILLUS
팔미토일펜타펩타이드-4,4,PALMITOYL PENTAPEPTIDE-4
카퍼트라이펩타이드-1,4,COPPER TRIPEPTIDE-1
해바라기씨오일,4,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL
소듐파이테이트,4,SODIUM PHYTATE
참산호말추출물,3,CORALLINA OFFICINALIS EXTRACT
아세틸헥사펩타이드-8,3,ACETYL HEXAPEPTIDE-8
카프릴릴/카프릴글루코사이드,3,CAPRYLYL/CAPRYL GLUCOSIDE
글리세릴카프릴레이트,3,GLYCERYL CAPRYLATE
